Month,Mean,LogMean,Median,LogMedian,Max,LogMax,StandardDeviation,LogStandardDeviation,Percentile50,LogPercentile50,Percentile75,LogPercentile75,Percentile90,LogPercentile90,Percentile99,LogPercentile99,Percentile9999,LogPercentile9999
2020-01,0.9880241634506243,-0.012048124599504934,1.0,0.0,1.13084,0.12296071939880601,0.03202505419363022,-3.4412367389718805,1.0,0.0,1.0,0.0,1.01432,0.01421843723755561,1.08691,0.08333880802310496,1.129753199999999,0.12199920179030273
2020-02,0.9860568700895934,-0.014041248467136492,1.0,0.0,1.14713,0.13726317087043513,0.07578512859593146,-2.5798531982479216,1.0,0.0,1.06605,0.06396022895887675,1.06685,0.06471038136875566,1.06689,0.06474787422168479,1.1428887379999975,0.1335590379923837
2020-03,1.020126146102507,0.019926292298864792,1.06572,0.06365062707627599,1.29522,0.2586805648927038,0.08149913724288019,-2.507162844768282,1.06572,0.06365062707627599,1.06685,0.06471038136875566,1.07236,0.06986182716891665,1.12695,0.11951486850114217,1.2499670959999982,0.2231172277677468
2020-04,1.0479312883284777,0.046818019177336655,1.06605,0.06396022895887675,1.39041,0.32959866767804064,0.061121038598582186,-2.7948991414903976,1.06605,0.06396022895887675,1.07236,0.06986182716891665,1.08213,0.07893132108141888,1.1442,0.13470570285229141,1.2984678109999825,0.26118496244103834
2020-05,1.0646086469133087,0.06260726394155926,1.0668250000000001,0.06468694762181568,1.73241,0.5495135026806264,0.04921668695300506,-3.0115225472760776,1.0668250000000001,0.06468694762181568,1.07252,0.07001101966481078,1.102128,0.09724285643563996,1.1887357,0.17289030536241684,1.5883017569999587,0.4626653680725257
2020-06,1.0730054334424441,0.07046352742180215,1.07211,0.06962866932466362,1.5989,0.46931589280923763,0.04030047255971633,-3.2113920840506975,1.07211,0.06962866932466362,1.08213,0.07893132108141888,1.11807,0.11160398457966782,1.1951125,0.17824032321178382,1.5796707499999945,0.4572164392475274
2020-07,1.0863359266692612,0.08281049842220191,1.08182,0.07864480798996974,1.82923,0.603895113279564,0.04250816081480233,-3.1580592023132676,1.08182,0.07864480798996974,1.12114,0.11434602478452184,1.12203,0.11513954471096599,1.21925,0.1982359156080249,1.5212519999999368,0.41953368002699315
2020-08,1.092575791862064,0.08853802028341289,1.09163,0.08767199206876378,1.89455,0.6389813433161631,0.044131523680443104,-3.120580929207602,1.09163,0.08767199206876378,1.12114,0.11434602478452184,1.134589,0.12627047081662005,1.2194396,0.1983914089519766,1.6604852359997857,0.5071098704972055
2020-09,1.102188456831043,0.09729770956788487,1.09709,0.09266121986038112,1.91062,0.6474277967148206,0.05031530945034167,-2.989445885355559,1.09709,0.09266121986038112,1.12119,0.11439062125338072,1.15012,0.13986628475738996,1.2575469000000004,0.2291629185189347,1.6874515379998627,0.5232194251298682
2020-10,1.1121406056240533,0.1062866317415564,1.10363,0.098604746753755,1.89742,0.6404950686610462,0.05004782939450013,-2.9947761429026145,1.10363,0.098604746753755,1.12812,0.12055253039632279,1.16749,0.15485614521374028,1.27749,0.24489721527643546,1.7220931479999826,0.5435404974577749
2020-11,1.1266406442705867,0.11924032375882813,1.11197,0.10613321704720032,2.07498,0.7299515150819936,0.0735018024875792,-2.6104453494235123,1.11197,0.10613321704720032,1.14022,0.13122122624382562,1.19059,0.17444898257538902,1.46532,0.3820736486507937,1.7994116239999398,0.5874597359110708
2020-12,1.1810600478526678,0.16641238084448468,1.1281,0.12053480162873767,2.0485,0.7171078180047888,0.13125701496582692,-2.030597931579982,1.1281,0.12053480162873767,1.20551,0.18690271391783092,1.42959,0.3573876898749901,1.54102,0.43244453483909184,1.8134990299998788,0.5952581448633011
2021-01,1.2488850024199774,0.22225115518318425,1.17995,0.1654720646984616,2.3094,0.8369877505356185,0.15731399782790378,-1.849511484778549,1.17995,0.1654720646984616,1.41328,0.3459132440146851,1.46527,0.3820395258291061,1.57114,0.45180147051619934,1.88803,0.6355339574275755
2021-02,1.3240306619169953,0.2806806157942409,1.38776,0.3276909364710165,2.49705,0.9151100351259926,0.16060091803193802,-1.8288327612221895,1.38776,0.3276909364710165,1.46392,0.3811177692372948,1.49489,0.4020526255402944,1.64178,0.4957810191060947,2.2984720059981125,0.8322445569418215
2021-03,1.4103136385184274,0.34381211831981634,1.43965,0.3644000284895651,2.35179,0.8551767403358881,0.13514062829955967,-2.0014393516195477,1.43965,0.3644000284895651,1.4817,0.3931900772325518,1.53693,0.4297869202532299,1.69915,0.5301281260204881,2.059916774999981,0.722665581499922
2021-04,1.4728404733365958,0.3871928310973038,1.46392,0.3811177692372948,2.53754,0.9311951077904603,0.12647593329777246,-2.0677032395249997,1.46392,0.3811177692372948,1.51214,0.4135258660635044,1.618013,0.481198853214653,1.95615,0.6709782557888835,2.21824,0.7967140886649949
2021-05,1.547043545112483,0.4363457192959313,1.48241,0.39366914178385315,2.6865,0.9882392311867392,0.18543688266670288,-1.6850407100005926,1.48241,0.39366914178385315,1.6052,0.4732483594106246,1.88055,0.6315642872480067,2.02431,0.7052289017524449,2.347354759999864,0.8532890601116436
2021-06,1.769308738132991,0.5705889268761031,1.82771,0.6030638171207353,2.68933,0.9892920919585362,0.24331825248442876,-1.413385011519796,1.82771,0.6030638171207353,1.99327,0.6897765062144209,1.99356,0.6899219852042506,2.19231,0.784955782444093,2.43759,0.8910098462851483
2021-07,1.9311366015687312,0.6581087423056569,1.96341,0.6746827574689773,5.41011,1.6882694253688737,0.1750750708078837,-1.742540420997492,1.96341,0.6746827574689773,2.00209,0.6941916349275361,2.10433,0.7439971266831764,2.2566834999999994,0.8138962576078685,2.54757,0.9351399636567607
2021-08,1.9909187877358387,0.6885962345644713,1.99045,0.688360743825985,3.00904,1.1016210910125255,0.14019053795083117,-1.96475279631088,1.99045,0.688360743825985,2.0426,0.7142235061618616,2.15284,0.7667879007113075,2.3122571999999972,0.8382241902975291,2.70701,0.99584470475168
2021-09,2.0119250942326916,0.6990920220378429,1.99336,0.6898216571313684,6.6075,1.8882053674963073,0.13602342868072761,-1.9949281383715753,1.99336,0.6898216571313684,2.06019,0.722798211557996,2.17038,0.7749022674288634,2.34374,0.851747944060815,5.44813709199996,1.6952737322604117
2021-10,2.033420794063095,0.7097194950597562,2.0020949999999997,0.6941941323146448,6.80967,1.918343660837507,0.18810338291734946,-1.6707635581619706,2.0020949999999997,0.6941941323146448,2.0909,0.7375945952952404,2.1926,0.7850880542583026,2.37811,0.8663060545578767,6.24421,1.8316546343746285
2021-11,2.0745239669906925,0.7297317138648981,2.01952,0.7028598594137376,7.46434,2.0101370144904336,0.30050638456410605,-1.2022862787630069,2.01952,0.7028598594137376,2.11556,0.7493195528651292,2.22484,0.7996850029201878,2.48985,0.9122224676982011,6.24421,1.8316546343746285
2021-12,3.2991767764221724,1.1936729756614406,2.1649,0.7723741710112476,12.6322,2.5362491096335766,1.727464936602969,0.5466549792629412,2.1649,0.7723741710112476,5.39518,1.6855059623796598,5.77428,1.7534135733105676,7.22641,1.9777423706674402,10.25721086999973,2.3279809577568
2022-01,5.675143567775229,1.736095861333854,5.70949,1.7421297026911784,12.9077,2.557824032518948,1.3036880574817087,0.2651972151642433,5.70949,1.7421297026911784,5.85523,1.7673352789425263,6.24421,1.8316546343746285,9.01986,2.199428812889778,10.4537,2.3469559827295425
2022-02,6.729093935199537,1.9064405038649546,5.85559,1.7673967605467376,14.9269,2.7031649543588827,1.5360515807401076,0.4292152153726517,5.85559,1.7673967605467376,8.70675,2.164098586904118,8.91642,2.187894520739861,9.44232,2.2452017126745654,12.2444,2.505068689611942
2022-03,8.278331849069799,2.113641480596217,8.91642,2.187894520739861,16.5698,2.8075817613595935,1.317643204906941,0.2758446899530899,8.91642,2.187894520739861,8.91696,2.1879550813290667,9.14216,2.2128966813971798,9.87815,2.290325247263312,12.7451,2.545146884011499
2022-04,8.8668876837607,2.182323853548806,8.91642,2.187894520739861,16.9253,2.8288095438997414,0.8637114725965981,-0.14651650970365096,8.91642,2.187894520739861,9.04257,2.20194342603616,9.70872,2.2730244507508086,10.8257,2.381922936924875,14.4086,2.6678252505379585
2022-05,9.572384940770402,2.2588823845290307,9.14065,2.2127314989111797,20.1818,3.004781208172602,1.3540748360323163,0.3031184432967939,9.14065,2.2127314989111797,9.81704,2.2841196512666144,11.2983,2.424652271922814,13.6364,2.6127426879609965,15.5255,2.742483833420099
2022-06,11.650473347767822,2.455346809895989,12.4683,2.523189423213305,19.3532,2.9628577804799088,1.9656809078307627,0.675838703277767,12.4683,2.523189423213305,13.2583,2.5846237714105316,13.6388,2.6129186720055637,14.7311,2.689960905215164,16.5547,2.8066700494215446
2022-07,13.040402938382746,2.568052456203832,13.2394,2.5831972322614623,21.3126,3.059298447114839,1.3078154409456098,0.2683581428849501,13.2394,2.5831972322614623,13.6378,2.6128453490840524,14.0691,2.6439809031955317,15.4345,2.7366052635194835,17.6405,2.8701973948481445
2022-08,13.53150124300112,2.6050203926424795,13.5989,2.6099889071179114,23.0964,3.139676761226941,1.0072490668681944,0.007222918673595735,13.5989,2.6099889071179114,13.9036,2.6321477994095543,14.5255,2.67590572555342,16.1165,2.779843591916088,20.041690159981094,2.997814611980717
2022-09,13.96890561287641,2.6368338318234814,13.6386,2.6129040078513555,26.2503,3.2676774175437555,1.3054035705041247,0.26651224239535637,13.6386,2.6129040078513555,14.4086,2.6678252505379585,15.5255,2.742483833420099,18.3032,2.907075907948533,23.40612559999088,3.15299776588322
2022-10,14.945099479815612,2.704383452108235,14.4086,2.6678252505379585,28.7754,3.3595208554670197,2.0561708588418512,0.7208454466896317,14.4086,2.6678252505379585,15.8417,2.762645703859877,18.2915,2.9064364710684027,23.55306000000008,3.159255748327172,25.398047919999904,3.234672317527795
2022-11,16.60332309179607,2.8096028615806787,16.2047,2.785301323617457,31.9635,3.464594626791947,2.557824466162766,0.9391570792863583,16.2047,2.785301323617457,18.3032,2.907075907948533,19.1844,2.9540974487767095,23.6591,3.1637478189425514,27.2077,3.303500021475332
2022-12,17.750626102871237,2.8764207887005293,18.3007,2.9069393104819308,31.9654,3.4646540678272397,2.5723044283429504,0.9448021618683443,18.3007,2.9069393104819308,18.8266,2.93527076343412,20.5477,3.022749012537374,24.0069,3.17834128902774,27.512852679999952,3.3146532656709167
2023-01,19.15818916268292,2.9527302567340086,18.5384,2.919844256521534,31.9654,3.4646540678272397,3.109084495996713,1.134328308576946,18.5384,2.919844256521534,21.0485,3.0468292986819905,23.6591,3.1637478189425514,25.5546,3.240817339583556,30.4105,3.4147879435139874
2023-02,21.50139288880004,3.0681177185607087,23.269,3.14712200260481,34.1109,3.529616981306745,3.2868376192135673,1.1899258925532585,23.269,3.14712200260481,23.6647,3.1639844863287774,24.9266,3.21593550636538,27.30385499999999,3.3070279010131,31.262042869999515,3.4424046737857394
